population,suicides/100kpop,gdp_for_year($),gdp_per_capita($),suicides_no
2709600,31.849999999999998,2156624900,796,73
2764300,32.46,2126000000,769,63
2803100,33.4,2335124988,833,68
2822500,18.000000000000004,709452584,251,47
2807300,32.56,1228071038,437,73
2849300,32.18000000000001,1985673798,697,50
2903400,40.550000000000004,2424499009,835,88
2940200,43.62,3314898292,1127,89
2977300,77.43,2359903108,793,170
3012700,66.52,2707123772,899,154
3029700,69.81,3414760915,1127,139
2796300,30.699999999999996,3632043908,1299,54
2799349,50.61999999999999,4060758804,1451,119
2818839,62.510000000000005,4435078648,1573,133
2843929,58.60000000000001,5746945913,2021,124
2874991,65.39,7314865176,2544,146
2783320,0.0,8158548717,2931,0
2780176,0.0,8992642349,3235,0
2770344,65.85,10701011897,3863,124
2757059,71.05000000000001,12881352688,4672,160
2745735,0.0,12044212904,4387,0
2736025,41.66,11926953259,4359,96
62574,0.0,240923926,3850,0
61270,0.0,290440148,4740,0
60261,0.0,337174852,5595,0
59564,0.0,398637741,6693,0
59238,0.0,438794778,7407,0
59334,17.24,459469074,7744,1
60394,0.0,481706333,7976,0
61741,0.0,499281148,8087,0
63315,15.0,535172778,8453,1
65044,0.0,589429593,9062,0
66846,0.0,577280741,8636,0
72225,0.0,727860593,10078,0
73832,0.0,766198926,10378,0
75326,39.97,830158778,11021,2
76497,19.45,800740259,10468,2
77588,0.0,814615333,10499,0
78658,27.82,855643111,10878,1
79722,36.06,919577148,11535,2
80809,0.0,1022191296,12649,0
81973,0.0,1157005444,14114,0
83131,7.98,1311401333,15775,1
84273,0.0,1368431037,16238,0
85405,0.0,1224253000,14335,0
88703,0.0,1211411704,13657,0
89779,0.0,1192925407,13287,0
90837,0.0,1280133333,14093,0
91889,15.62,1364863037,14853,1
27090800,134.47000000000003,88416668900,3264,1988
27244400,152.90000000000003,110934442763,4072,2284
27599400,144.98,111106191358,4026,2286
28308000,146.24,126206817196,4458,2354
28702000,138.93,76636898036,2670,2247
29091100,134.89999999999998,141352368715,4859,2140
29623000,119.23999999999998,189719984268,6404,1951
30045400,126.86000000000003,228788617202,7615,2184
30477500,134.77,236741715015,7768,2230
30911200,122.05,257440000000,8328,2241
31345400,119.97,258031750000,8232,2204
31780700,118.03,272149750000,8563,2229
32333781,111.39999999999998,292859000000,9057,2184
32757259,116.92999999999998,298948250000,9126,2347
33174862,117.19,283523000000,8546,2423
33585533,131.39,284203750000,8462,2774
34010946,143.55999999999997,268696750000,7900,3132
34407507,139.42,97724004252,2840,3162
34785907,146.29,127586973492,3668,3289
35162945,131.05999999999997,164657930453,4683,3121
35550617,128.18,198737095012,5590,3058
35918886,128.21999999999997,232557260817,6475,3108
36315492,118.35000000000004,287530508431,7918,2946
36733520,118.10999999999999,361558037110,9843,3059
37158001,107.32000000000001,332976484578,8961,2884
37578454,111.24000000000001,423627422092,11273,2943
38015739,105.86999999999998,530163281575,13946,2912
38441778,119.81999999999998,545982375701,14203,3248
38859125,103.42,552025140252,14206,2987
39276555,111.35,526319673732,13400,3231
39699624,112.13000000000001,594749285413,14981,3073
2983700,41.12,2256838858,756,93
3230800,45.87000000000001,2068526522,640,80
3308700,40.86000000000001,1272577456,385,83
3366600,51.050000000000004,1201313201,357,106
3402500,66.73,1315158670,387,112
3443200,51.78999999999999,1468317350,426,130
3486300,37.050000000000004,1596968913,458,87
3526700,32.23,1639492424,465,77
3558000,27.419999999999998,1893726437,532,66
3580700,24.68,1845482181,515,67
3606500,34.300000000000004,1911563665,530,61
3610516,29.78,2118467913,587,60
3014844,38.070000000000014,2376335048,788,74
3024366,33.43000000000001,2807061009,928,59
2764396,43.67,6384451606,2310,78
2735313,39.019999999999996,9206301700,3366,71
3045391,35.15,11662040714,3829,63
2689695,33.7,8647936748,3215,53
2676225,40.41000000000001,9260284938,3460,73
2670366,32.980000000000004,10142111334,3798,67
2814300,36.57000000000001,10619320049,3773,79
2810664,37.480000000000004,11121465767,3957,67
2803029,37.00999999999999,11609512940,4142,58
2795335,45.28,10553337673,3775,74
2400033,40.56000000000001,10546135160,3788,67
73581,308.51,1320670391,17949,8
81934,115.47000000000001,1722798883,21027,9
83888,305.33,1873452514,22333,10
86045,27.28,1920262570,22317,4
88284,126.46000000000002,1941094972,21987,9
90457,12.93,2021301676,22345,2
92335,176.71999999999997,2228279330,24133,8
93728,99.57999999999998,2331005587,24870,10
94508,96.31,2421474860,25622,9
94814,92.19000000000001,2623726257,27672,8
94814,41.440000000000005,2791960894,29447,4
94795,42.230000000000004,2498932961,26361,4
95006,58.65,2467703911,25974,7
95488,93.42,2584463687,27066,9
14562500,163.41,180190994861,12374,1861
14809800,175.79000000000002,181977476217,12288,2044
15046500,188.82000000000005,189041159344,12564,2164
15312100,179.32,235699941793,15393,2172
15570600,168.11,299317645143,19223,2066
15807000,172.34999999999997,310838014621,19665,2202
16012100,180.15000000000003,325358292128,20320,2288
16203500,170.64000000000004,324878105053,20050,2251
16370000,154.94999999999996,311528948848,19030,2038
16549400,167.75,322201314424,19469,2283
16766300,155.19,367216364716,21902,2170
17015100,175.33999999999997,400302731411,23526,2426
17221300,186.93000000000006,434568007513,25234,2646
17421730,176.41000000000003,398899138574,22897,2632
17641702,167.14999999999998,388395162301,22016,2488
